Club,Expenditure,Arrivals,Income,Departures,Balance,season_start
Liverpool,17441841.152746405,15,80500805.32036804,16,63058964.16762163,2019
Norwich,14792022.977617625,22,3689620.2438502014,27,-11102402.733767424,2019
Crystal Palace,12745960.842391605,13,92877804.13837461,15,80131843.29598302,2019
Chelsea,411120320.74928015,31,87932359.02253503,26,-323187961.7267451,2020
Man City,266797393.77966008,27,98471933.11360003,27,-168325460.66606006,2020
Leeds,196636141.43622005,16,0.0,16,-196636141.43622005,2020
Tottenham,170017947.01645005,15,20463698.600170005,11,-149554248.41628006,2020
Aston Villa,155939537.82911506,12,4261988.355073001,15,-151677549.47404206,2020
Wolves,134768072.20969105,21,121859017.22808003,23,-12909054.981611004,2020
Arsenal,132321660.12140004,16,29464648.73633501,16,-102857011.38506502,2020
Liverpool,130475311.37552004,17,26464332.024280008,13,-104010979.35124004,2020
Man United,129167481.01385504,17,30003167.12055001,17,-99164313.89330503,2020
Everton,114427463.52591303,20,6816104.120207002,20,-107626745.64525503,2020
Sheffield United,96471721.97223003,16,0.0,19,-96471721.97223003,2020
Leicester,91394262.92106003,19,82731810.05497302,18,-8662452.866087003,2020
West Ham,84162730.33303003,16,69868913.79200903,17,-14293816.541021004,2020
Brighton,77085060.14049003,28,31695653.47094001,22,-45389406.66955002,2020
West Brom,64837613.45948602,23,12462854.034690004,22,-52374759.424796015,2020
Newcastle,59621678.25237502,10,1200126.6848220003,15,-58421551.56755302,2020
Southampton,57390673.517770015,23,40465810.013870016,18,-16924863.503900006,2020
Fulham,57313742.32002502,23,0.0,19,-57313742.32002502,2020
Crystal Palace,34465176.58976001,12,30772479.09800001,8,-3692697.491760001,2020
Burnley,1692486.3503900005,6,3538835.096270001,6,1846348.7458800005,2020
Arsenal,236298761.5140001,13,44323662.55400001,20,-191975098.96000007,2021
Man United,200444588.62000006,16,43900188.07100002,14,-156544400.54900005,2021
Man City,196068685.62900007,22,132406355.01800005,24,-63662330.611000024,2021
Newcastle,184211400.10500005,12,0.0,10,-184211400.10500005,2021
Aston Villa,183223292.97800007,22,179270864.47000006,18,-3952428.5080000013,2021
Chelsea,166566629.98000005,21,222451145.9199001,23,55884515.93990002,2021
Tottenham,135370676.39900005,14,48868955.33820002,19,-86501721.06080003,2021
Liverpool,125630763.29000004,14,44676557.956500016,12,-80954205.33350003,2021
Crystal Palace,120859617.44820005,13,0.0,15,-120859617.44820005,2021
Brighton,106687338.08380003,26,111232630.86800005,29,4545292.7842000015,2021
West Ham,105162829.94500004,10,5985106.026400002,8,-99191839.73470004,2021
Leicester,95422916.83600004,11,5646326.440000002,11,-89776590.39600003,2021
Norwich,89706011.31550004,32,54204733.824000016,30,-35501277.49150001,2021
Southampton,89494274.07400003,10,85188950.16350003,14,-4305323.910500001,2021
Leeds,83706789.47300003,13,0.0,15,-83706789.47300003,2021
Burnley,69732131.53400002,8,57169055.20500002,6,-12563076.329000004,2021
Watford,61403800.03500002,31,18138823.688500006,29,-43264976.34650002,2021
Everton,55757473.59500002,13,64932754.060000025,15,9175280.465000004,2021
Brentford,53922417.50200002,19,1411581.6100000006,15,-52510835.89200002,2021
Wolves,53075468.53600002,24,44888295.198000014,22,-8187173.338000003,2021
Chelsea,816192027.2500001,28,87880667.94000001,25,-728311359.3100001,2022
Man United,314886301.35,24,30627435.850000005,19,-284258865.50000006,2022
Nott'm Forest,256869002.15000004,42,6475145.000000001,26,-250393857.15000004,2022
West Ham,254602701.40000004,12,27907874.950000003,13,-226694826.45000005,2022
Arsenal,241393405.60000002,25,30821690.200000007,18,-210571715.40000004,2022
Newcastle,239580365.00000003,15,18208107.740000002,12,-221372257.26000005,2022
Tottenham,232975717.10000002,15,50182373.75000001,14,-182793343.35000002,2022
Wolves,232470655.79000005,31,84008531.23000002,27,-148462124.56000003,2022
Leeds,212242302.81000003,24,148280820.50000003,19,-63961482.31000001,2022
Man City,200729495.00000003,29,210014852.93000004,24,9285357.930000002,2022
Southampton,199706422.09000003,21,7122659.500000001,14,-192583762.59000003,2022
Liverpool,188815228.20000002,11,103731822.90000002,13,-85083405.30000001,2022
Aston Villa,146338277.00000003,23,69931566.00000001,22,-76406711.00000001,2022
Bournemouth,118106644.80000001,17,0.0,13,-118106644.80000001,2022
Everton,107578059.03000002,19,134165004.40000002,21,26586945.370000005,2022
Fulham,98551706.90000002,20,32893736.600000005,21,-65657970.30000001,2022
Brighton,72133115.30000001,21,179232013.60000002,23,107098898.30000001,2022
Brentford,63780178.25000001,23,4662104.4,21,-59118073.85000001,2022
Leicester,63456421.00000001,10,105415360.60000002,9,41958939.60000001,2022
Crystal Palace,60348351.400000006,16,7070858.340000001,13,-53290443.35000001,2022
Chelsea,551397210.0000001,30,335281820.00000006,32,-216115390.00000003,2023
Tottenham,323282010.00000006,27,143403670.00000003,22,-179878340.00000003,2023
Man City,308430760.00000006,19,164908280.00000003,21,-143522480.00000003,2023
Arsenal,279322310.00000006,15,82216520.00000001,16,-197105790.00000003,2023
Man United,250332670.00000003,16,75765137.00000001,24,-174567533.00000003,2023
Liverpool,204353200.00000003,14,72117670.00000001,18,-132235530.00000001,2023
Newcastle,175957610.00000003,16,52989260.00000001,15,-122968350.00000001,2023
West Ham,171751736.00000003,10,205374966.00000003,11,33623230.00000001,2023
Nott'm Forest,156389603.00000003,35,98398442.00000001,41,-57991161.00000001,2023
Bournemouth,154322309.0,23,1782150.0000000002,21,-152540159.0,2023
Aston Villa,132473150.00000001,14,39397396.0,14,-93075754.00000001,2023
Burnley,131938505.00000001,30,4514780.000000001,22,-127423725.00000001,2023
Brighton,126948485.00000001,28,224550900.00000003,22,97602415.00000001,2023
Wolves,111681400.00000001,26,201026520.00000003,31,89345120.00000001,2023
Fulham,86933277.00000001,15,63206920.00000001,16,-23726357.000000004,2023
Brentford,85959035.00000001,19,12178025.000000002,16,-73781010.00000001,2023
