#,Club,,Expenditure,Arrivals,Income,Departures,Balance,season_start
5,Aston Villa,Aston Villa,€214.20m,20,€257.17m,25,€42.97m,2024
6,Tottenham Hotspur,Tottenham Hotspur,€185.35m,17,€55.30m,17,€-130.05m,2024
7,Ipswich Town,Ipswich Town,€152.59m,17,€2.36m,18,€-150.23m,2024
8,West Ham United,West Ham United,€144.40m,18,€46.15m,15,€-98.25m,2024
9,AFC Bournemouth,AFC Bournemouth,€134.90m,17,€66.09m,23,€-68.82m,2024
10,Wolverhampton Wanderers,Wolverhampton Wanderers,€124.40m,23,€116.20m,16,€-8.21m,2024
11,Southampton FC,Southampton FC,€123.05m,30,€41.59m,19,€-81.46m,2024
12,Arsenal FC,Arsenal FC,€108.90m,10,€83.79m,13,€-25.11m,2024
13,Nottingham Forest,Nottingham Forest,€105.50m,26,€86.70m,32,€-18.80m,2024
14,Brentford FC,Brentford FC,€98.40m,14,€74.50m,18,€-23.90m,2024
15,Crystal Palace,Crystal Palace,€91.90m,18,€100.70m,18,€8.80m,2024
16,Fulham FC,Fulham FC,€91.55m,14,€68.80m,13,€-22.75m,2024
17,Leicester City,Leicester City,€91.05m,14,€47.25m,13,€-43.80m,2024
18,Newcastle United,Newcastle United,€68.20m,11,€89.55m,16,€21.35m,2024
19,Everton FC,Everton FC,€50.20m,11,€84.15m,12,€33.95m,2024
20,Liverpool FC,Liverpool FC,€42.00m,12,€47.00m,15,€5.00m,2024
1,Liverpool FC,Liverpool FC,€339.68m,15,€219.50m,10,€-120.18m,2025
2,Arsenal FC,Arsenal FC,€293.50m,14,€8.00m,9,€-285.50m,2025
3,Chelsea FC,Chelsea FC,€279.65m,23,€276.45m,19,€-3.20m,2025
4,Manchester United,Manchester United,€229.70m,12,-,7,€-229.70m,2025
5,Manchester City,Manchester City,€176.90m,15,€58.50m,11,€-118.40m,2025
6,Nottingham Forest,Nottingham Forest,€174.90m,16,€124.40m,13,€-50.50m,2025
7,Sunderland AFC,Sunderland AFC,€165.00m,21,€51.00m,9,€-114.00m,2025
8,Newcastle United,Newcastle United,€146.15m,10,€31.00m,10,€-115.15m,2025
9,Tottenham Hotspur,Tottenham Hotspur,€145.60m,13,€35.50m,12,€-110.10m,2025
10,Everton FC,Everton FC,€127.75m,13,€4.00m,14,€-123.75m,2025
11,Burnley FC,Burnley FC,€125.65m,21,€35.00m,17,€-90.65m,2025
12,AFC Bournemouth,AFC Bournemouth,€121.60m,16,€237.06m,14,€115.46m,2025
13,Leeds United,Leeds United,€113.70m,16,€8.00m,10,€-105.70m,2025
14,Brentford FC,Brentford FC,€98.70m,14,€97.60m,11,€-1.10m,2025
15,Wolverhampton Wanderers,Wolverhampton Wanderers,€98.50m,12,€115.00m,16,€16.50m,2025
16,West Ham United,West Ham United,€82.80m,15,€65.80m,12,€-17.00m,2025
17,Brighton & Hove Albion,Brighton & Hove Albion,€80.00m,23,€121.70m,15,€41.70m,2025
18,Aston Villa,Aston Villa,€37.00m,15,€55.15m,17,€18.15m,2025
19,Crystal Palace,Crystal Palace,€2.30m,13,€69.30m,12,€67.00m,2025
20,Fulham FC,Fulham FC,€500k,2,-,5,€-500k,2025
